RestaurantNo,hasAlternative,hasBar,OpenWE,isHungry,PatVol,Cost,isRaining,canReserve,Type,EstWaitTime,ShouldWait
1,Yes,No,No,Yes,Some,Expensive,No,Yes,French,0-10,Yes
2,Yes,No,No,Yes,Full,Cheap,No,No,Thai,30-60,No
3,No,Yes,No,No,Some,Cheap,No,No,Burger,0-10,Yes
4,Yes,No,Yes,Yes,Full,Cheap,Yes,No,Thai,10-30,Yes
5,Yes,No,Yes,No,Full,Expensive,No,Yes,French,>60,No
6,No,Yes,No,Yes,Some,Reasonable,Yes,Yes,Italian,0-10,Yes
7,No,Yes,No,No,None,Cheap,Yes,No,Burger,0-10,No
8,No,No,No,Yes,Some,Reasonable,Yes,Yes,Thai,0-10,Yes
9,No,Yes,Yes,No,Full,Cheap,Yes,No,Burger,>60,No
10,Yes,Yes,Yes,Yes,Full,Expensive,No,Yes,Italian,10-30,No
11,No,No,No,No,None,Cheap,No,No,Thai,0-10,No
12,Yes,Yes,Yes,Yes,Full,Cheap,No,No,Burger,30-60,Yes
